league,season,fixture_id,date,venue,referee,home_team,away_team,home_goals,away_goals,status,home_shots_on_target,away_shots_on_target,home_shots_total,away_shots_total,home_possession,away_possession,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_passes,away_passes,home_pass_accuracy,away_pass_accuracy,goal_diff,result,total_goals,home_win,draw,away_win,home_total_cards,away_total_cards,total_cards,card_diff,possession_diff,pass_accuracy_diff,shot_diff,shots_on_target_diff,passes_diff,home_shot_efficiency,away_shot_efficiency,shot_efficiency_diff,big_team_home,big_team_away,big_team_match
La Liga,2019,214178,2019-12-08 20:00:00+00:00,Estadio El Sadar,Javier Estrada,Osasuna,Sevilla,1,1,FT,1.0,4.0,10.0,13.0,39.0,61.0,4.0,4.0,1.0,0.0,318.0,503.0,68.0,78.0,0,D,2,0,1,0,5.0,4.0,9.0,1.0,-22.0,-10.0,-3.0,-3.0,-185.0,0.1,0.07692307692307693,0.023076923076923078,0,1,0
La Liga,2019,214185,2019-12-15 13:00:00+00:00,Abanca-Balaídos,Ricardo De Burgos,Celta Vigo,Mallorca,2,2,FT,7.0,2.0,18.0,8.0,66.0,34.0,3.0,5.0,0.0,1.0,514.0,248.0,83.0,64.0,0,D,4,0,1,0,3.0,6.0,9.0,-3.0,32.0,19.0,10.0,5.0,266.0,0.1111111111111111,0.25,-0.1388888888888889,0,0,0
La Liga,2019,214200,2019-12-21 17:30:00+00:00,Estadio de la Cerámica,Santiago Jaime,Villarreal,Getafe,1,0,FT,4.0,0.0,11.0,7.0,64.0,36.0,2.0,5.0,0.0,1.0,488.0,259.0,78.0,57.0,1,H,1,1,0,0,2.0,6.0,8.0,-4.0,28.0,21.0,4.0,4.0,229.0,0.09090909090909091,0.0,0.09090909090909091,0,0,0
La Liga,2019,214198,2019-12-22 13:00:00+00:00,Estadio El Sadar,David Medié,Osasuna,Real Sociedad,3,4,FT,7.0,7.0,19.0,13.0,46.0,54.0,6.0,2.0,1.0,0.0,329.0,399.0,70.0,75.0,-1,A,7,0,0,1,7.0,2.0,9.0,5.0,-8.0,-5.0,6.0,0.0,-70.0,0.15789473684210525,0.3076923076923077,-0.14979757085020245,0,0,0
La Liga,2019,214210,2020-01-04 12:00:00+00:00,Estadio de Mestalla,Alejandro Hernández,Valencia,Eibar,1,0,FT,1.0,3.0,9.0,10.0,51.0,49.0,1.0,3.0,0.0,1.0,439.0,401.0,79.0,78.0,1,H,1,1,0,0,1.0,4.0,5.0,-3.0,2.0,1.0,-1.0,-2.0,38.0,0.1111111111111111,0.0,0.1111111111111111,1,0,0
La Liga,2019,214205,2020-01-04 20:00:00+00:00,RCDE Stadium,Carlos Del Cerro,Espanyol,Barcelona,2,2,FT,3.0,7.0,7.0,14.0,31.0,69.0,2.0,2.0,0.0,1.0,313.0,719.0,74.0,89.0,0,D,4,0,1,0,2.0,3.0,5.0,-1.0,-38.0,-15.0,-7.0,-4.0,-406.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0,1,0
La Liga,2019,214202,2020-01-05 15:00:00+00:00,Estadio de Mendizorroza,Antonio Mateu,Alaves,Real Betis,1,1,FT,1.0,3.0,6.0,10.0,32.0,68.0,7.0,3.0,0.0,1.0,245.0,534.0,63.0,84.0,0,D,2,0,1,0,7.0,4.0,11.0,3.0,-36.0,-21.0,-4.0,-2.0,-289.0,0.16666666666666666,0.1,0.06666666666666665,0,0,0
La Liga,2019,214218,2020-01-19 11:00:00+00:00,Iberostar Estadi,Mario Melero,Mallorca,Valencia,4,1,FT,6.0,1.0,14.0,8.0,42.0,58.0,4.0,4.0,0.0,1.0,386.0,526.0,81.0,86.0,3,H,5,1,0,0,4.0,5.0,9.0,-1.0,-16.0,-5.0,6.0,5.0,-140.0,0.2857142857142857,0.125,0.1607142857142857,0,1,0
La Liga,2019,214221,2020-01-19 15:00:00+00:00,Estadio de la Cerámica,Pablo González,Villarreal,Espanyol,1,2,FT,5.0,5.0,21.0,16.0,67.0,33.0,1.0,4.0,0.0,1.0,546.0,265.0,86.0,66.0,-1,A,3,0,0,1,1.0,5.0,6.0,-4.0,34.0,20.0,5.0,0.0,281.0,0.047619047619047616,0.125,-0.07738095238095238,0,0,0
La Liga,2019,214213,2020-01-19 20:00:00+00:00,Camp Nou,Valentín Pizarro,Barcelona,Granada CF,1,0,FT,6.0,1.0,18.0,5.0,82.0,18.0,0.0,4.0,0.0,1.0,1002.0,207.0,92.0,64.0,1,H,1,1,0,0,0.0,5.0,5.0,-5.0,64.0,28.0,13.0,5.0,795.0,0.05555555555555555,0.0,0.05555555555555555,1,0,0
La Liga,2019,214223,2020-01-26 11:00:00+00:00,Estadio Wanda Metropolitano,Antonio Mateu,Atletico Madrid,Leganes,0,0,FT,3.0,4.0,14.0,10.0,55.0,45.0,1.0,6.0,0.0,1.0,484.0,374.0,77.0,71.0,0,D,0,0,1,0,1.0,7.0,8.0,-6.0,10.0,6.0,4.0,-1.0,110.0,0.0,0.0,0.0,1,0,0
La Liga,2019,214226,2020-01-26 15:00:00+00:00,Coliseum Alfonso Pérez,Eduardo Prieto,Getafe,Real Betis,1,0,FT,3.0,1.0,7.0,8.0,37.0,63.0,2.0,5.0,0.0,1.0,221.0,412.0,61.0,77.0,1,H,1,1,0,0,2.0,6.0,8.0,-4.0,-26.0,-16.0,-1.0,2.0,-191.0,0.14285714285714285,0.0,0.14285714285714285,0,0,0
La Liga,2019,214247,2020-02-08 15:00:00+00:00,Coliseum Alfonso Pérez,Ricardo De Burgos,Getafe,Valencia,3,0,FT,10.0,0.0,22.0,5.0,53.0,47.0,4.0,4.0,0.0,1.0,405.0,378.0,70.0,66.0,3,H,3,1,0,0,4.0,5.0,9.0,-1.0,6.0,4.0,17.0,10.0,27.0,0.13636363636363635,0.0,0.13636363636363635,0,1,0
La Liga,2019,214250,2020-02-09 13:00:00+00:00,Reale Arena,José Munuera,Real Sociedad,Athletic Club,2,1,FT,4.0,3.0,14.0,6.0,63.0,37.0,2.0,2.0,0.0,1.0,508.0,285.0,79.0,63.0,1,H,3,1,0,0,2.0,3.0,5.0,-1.0,26.0,16.0,8.0,1.0,223.0,0.14285714285714285,0.16666666666666666,-0.023809523809523808,0,0,0
La Liga,2019,214244,2020-02-09 20:00:00+00:00,Estadio Benito Villamarín,José Sánchez,Real Betis,Barcelona,2,3,FT,3.0,6.0,7.0,10.0,29.0,71.0,5.0,5.0,1.0,1.0,301.0,711.0,83.0,90.0,-1,A,5,0,0,1,6.0,6.0,12.0,0.0,-42.0,-7.0,-3.0,-3.0,-410.0,0.2857142857142857,0.3,-0.01428571428571429,0,1,0
La Liga,2019,214259,2020-02-16 11:00:00+00:00,Estadio Ramón Sánchez Pizjuán,Adrián Cordero,Sevilla,Espanyol,2,2,FT,6.0,3.0,18.0,5.0,67.0,33.0,2.0,4.0,0.0,1.0,489.0,234.0,83.0,59.0,0,D,4,0,1,0,2.0,5.0,7.0,-3.0,34.0,24.0,13.0,3.0,255.0,0.1111111111111111,0.4,-0.2888888888888889,1,0,0
La Liga,2019,214256,2020-02-16 13:00:00+00:00,Estadio Municipal de Butarque,Javier Estrada,Leganes,Real Betis,0,0,FT,1.0,2.0,11.0,3.0,34.0,66.0,5.0,3.0,0.0,1.0,292.0,587.0,61.0,82.0,0,D,0,0,1,0,5.0,4.0,9.0,1.0,-32.0,-21.0,8.0,-1.0,-295.0,0.0,0.0,0.0,0,0,0
La Liga,2019,214266,2020-02-22 12:00:00+00:00,Abanca-Balaídos,José Munuera,Celta Vigo,Leganes,1,0,FT,1.0,2.0,3.0,11.0,42.0,58.0,2.0,3.0,1.0,0.0,332.0,414.0,71.0,78.0,1,H,1,1,0,0,3.0,3.0,6.0,0.0,-16.0,-7.0,-8.0,-1.0,-82.0,0.3333333333333333,0.0,0.3333333333333333,0,0,0
La Liga,2019,214271,2020-02-23 15:00:00+00:00,Estadio Municipal José Zorrilla,Eduardo Prieto,Valladolid,Espanyol,2,1,FT,6.0,2.0,21.0,6.0,64.0,36.0,1.0,5.0,0.0,1.0,427.0,243.0,84.0,59.0,1,H,3,1,0,0,1.0,6.0,7.0,-5.0,28.0,25.0,15.0,4.0,184.0,0.09523809523809523,0.16666666666666666,-0.07142857142857142,0,0,0
La Liga,2019,214280,2020-03-01 11:00:00+00:00,Estadio Ramón Sánchez Pizjuán,Carlos Del Cerro,Sevilla,Osasuna,3,2,FT,5.0,4.0,12.0,14.0,64.0,36.0,2.0,2.0,0.0,1.0,463.0,262.0,80.0,61.0,1,H,5,1,0,0,2.0,3.0,5.0,-1.0,28.0,19.0,-2.0,1.0,201.0,0.25,0.14285714285714285,0.10714285714285715,1,0,0
La Liga,2019,214277,2020-03-01 17:30:00+00:00,Iberostar Estadi,Mario Melero,Mallorca,Getafe,0,1,FT,1.0,5.0,4.0,9.0,54.0,46.0,4.0,5.0,1.0,0.0,405.0,328.0,66.0,60.0,-1,A,1,0,0,1,5.0,5.0,10.0,0.0,8.0,6.0,-5.0,-4.0,77.0,0.0,0.1111111111111111,-0.1111111111111111,0,0,0
La Liga,2019,214287,2020-03-07 20:00:00+00:00,Coliseum Alfonso Pérez,José Sánchez,Getafe,Celta Vigo,0,0,FT,6.0,2.0,19.0,3.0,55.0,45.0,6.0,5.0,1.0,0.0,417.0,363.0,72.0,69.0,0,D,0,0,1,0,7.0,5.0,12.0,2.0,10.0,3.0,16.0,4.0,54.0,0.0,0.0,0.0,0,0,0
La Liga,2019,214289,2020-03-08 11:00:00+00:00,Estadio El Sadar,Ricardo De Burgos,Osasuna,Espanyol,1,0,FT,6.0,2.0,17.0,8.0,51.0,49.0,3.0,3.0,0.0,1.0,350.0,326.0,62.0,58.0,1,H,1,1,0,0,3.0,4.0,7.0,-1.0,2.0,4.0,9.0,4.0,24.0,0.058823529411764705,0.0,0.058823529411764705,0,0,0
La Liga,2019,214301,2020-06-12 20:00:00+00:00,Estadio de Mestalla,Javier Alberola,Valencia,Levante,1,1,FT,3.0,4.0,12.0,14.0,50.0,50.0,1.0,4.0,0.0,1.0,430.0,435.0,84.0,85.0,0,D,2,0,1,0,1.0,5.0,6.0,-4.0,0.0,-1.0,-2.0,-1.0,-5.0,0.08333333333333333,0.07142857142857142,0.011904761904761904,1,0,0
La Liga,2019,214294,2020-06-13 12:00:00+00:00,RCDE Stadium,Pablo González,Espanyol,Alaves,2,0,FT,9.0,0.0,19.0,1.0,69.0,31.0,4.0,3.0,0.0,1.0,543.0,240.0,82.0,65.0,2,H,2,1,0,0,4.0,4.0,8.0,0.0,38.0,17.0,18.0,9.0,303.0,0.10526315789473684,0.0,0.10526315789473684,0,0,0
La Liga,2019,214306,2020-06-16 17:30:00+00:00,Coliseum Alfonso Pérez,José Munuera,Getafe,Espanyol,0,0,FT,4.0,3.0,21.0,5.0,69.0,31.0,3.0,2.0,0.0,1.0,497.0,221.0,76.0,51.0,0,D,0,0,1,0,3.0,3.0,6.0,0.0,38.0,25.0,16.0,1.0,276.0,0.0,0.0,0.0,0,0,0
La Liga,2019,214302,2020-06-18 17:30:00+00:00,Estadio de Mendizorroza,Santiago Jaime,Alaves,Real Sociedad,2,0,FT,7.0,1.0,15.0,7.0,35.0,65.0,3.0,4.0,1.0,1.0,231.0,429.0,65.0,80.0,2,H,2,1,0,0,4.0,5.0,9.0,-1.0,-30.0,-15.0,8.0,6.0,-198.0,0.13333333333333333,0.0,0.13333333333333333,0,0,0
La Liga,2019,214309,2020-06-18 20:00:00+00:00,Estadio Alfredo Di Stéfano,José Sánchez,Real Madrid,Valencia,3,0,FT,14.0,2.0,19.0,4.0,63.0,37.0,0.0,2.0,0.0,1.0,705.0,400.0,92.0,82.0,3,H,3,1,0,0,0.0,3.0,3.0,-3.0,26.0,10.0,15.0,12.0,305.0,0.15789473684210525,0.0,0.15789473684210525,1,1,1
La Liga,2019,214314,2020-06-21 12:00:00+00:00,Abanca-Balaídos,Adrián Cordero,Celta Vigo,Alaves,6,0,FT,10.0,2.0,15.0,4.0,73.0,27.0,1.0,1.0,0.0,1.0,592.0,209.0,90.0,74.0,6,H,6,1,0,0,1.0,2.0,3.0,-1.0,46.0,16.0,11.0,8.0,383.0,0.4,0.0,0.4,0,0,0
La Liga,2019,214325,2020-06-25 17:30:00+00:00,Estadio Municipal de Ipurúa,Santiago Jaime,Eibar,Valencia,1,0,FT,5.0,0.0,14.0,7.0,33.0,67.0,4.0,2.0,0.0,1.0,245.0,498.0,64.0,77.0,1,H,1,1,0,0,4.0,3.0,7.0,1.0,-34.0,-13.0,7.0,5.0,-253.0,0.07142857142857142,0.0,0.07142857142857142,0,1,0
